文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
转发省关于组团参加第九届APEC中小企业技术交流暨展览会的通知,工信委,2016-05-03 11:26, 013353737/2016-02042529,通知,文秘工作,2042529.txt
关于举办第二期“营改增”新政深度解析与操作实务培训讲座的通知,中小企业服务中心,2016-04-27 13:58, 013353737/2016-02038485,培训,教育,2038485.txt
​关于做好2016年西安市企业技术创新项目申报工作的通知,工信委,2016-04-21 13:59, 013353737/2016-02034007,技术,科技,2034007.txt
​关于申报2016年西安市技术创新示范企业的通知,工信委,2016-04-21 13:53, 013353737/2016-02034004,技术,科技,2034004.txt
​关于组织开展对认定市级企业技术中心评价工作的通知,工信委,2016-04-21 13:51, 013353737/2016-02034001,技术,科技,2034001.txt
​关于组织对2013年认定市级技术创新示范企业复核评价工作的通知,工信委,2016-04-21 13:47, 013353737/2016-02033998,技术,科技,2033998.txt
​关于对2013年第一批西安市产学研合作创新示范基地复核评价的通知,工信委,2016-04-21 13:42, 013353737/2016-02033995,通知,文秘工作,2033995.txt
关于申报2016年第四批西安市产学研合作创新示范基地的通知,工信委,2016-04-21 13:35, 013353737/2016-02033992,通知,文秘工作,2033992.txt
关于组织参加2016丝博会暨第20届西洽会有关活动的通知,工信委,2016-04-18 18:00, 013353737/2016-02031308,博览会,对外经贸合作,2031308.txt
关于邀请会计师事务所对2016年市工业地产品配套采购奖励资金申报项目进行审核的函,工信委,2016-04-18 17:54, 013353737/2016-02031293,资金,财政,2031293.txt
关于举办“工业企业可持续发展之道”讲座的通知,中小企业服务中心,2016-04-15 09:03, 013353737/2016-02029412,通知,文秘工作,2029412.txt
关于申报2016年陕西省中小企业创新研发中心的通知,工信委,2016-04-14 18:35, 013353737/2016-02029404,通知,文秘工作,2029404.txt
关于举办“营改增”新政深度解析与操作实务培训讲座的通知,中小企业服务中心,2016-04-12 15:52, 013353737/2016-02027097,培训,教育,2027097.txt
关于组织开展对2013年认定省级技术创新示范企业复核评工作的通知,工信委,2016-04-11 16:50, 013353737/2016-02026221,通知,文秘工作,2026221.txt
关于做好2016年西安市中小企业公共服务平台业务补助项目申报工作的通知,工信委,2016-04-08 14:17, 013353737/2016-02024777,通知,文秘工作,2024777.txt
​关于征集西安市第三批小型微型企业创业基地的通知,工信委,2016-04-07 11:15, 013353737/2016-02023938,通知,文秘工作,2023938.txt
关于对2016年工业高成长性企业培育奖励申报工作的通知,工信委,2016-04-06 11:42, 013353737/2016-02023345,工业,机械制造与重工业,2023345.txt
​转发关于组织申报第二批省级工业产品质量控制和技术评价实验室的通知,工信委,2016-04-01 21:37, 013353737/2016-02022643,技术,科技,2022643.txt
转发关于做好2016年陕西省工业质量品牌建设工作的通知,工信委,2016-04-01 21:30, 013353737/2016-02022640,质量,产品质量,2022640.txt
​转发关于组织开展2016年陕西省工业企业品牌培育试点示范工作的通知,工信委,2016-04-01 21:27, 013353737/2016-02022637,工业,机械制造与重工业,2022637.txt
转发关于开展陕西省质量标杆活动的通知,工信委,2016-04-01 21:18, 013353737/2016-02022634,质量,产品质量,2022634.txt
省级企业技术中心评估及申报培训工作将在汉中市举办,工信委,2016-03-30 15:17, 013353737/2016-02018879,培训,教育,2018879.txt
​关于市级2013-2015年度工业发展专项资金扶持项目审计调查和审计评价问卷调查的通知,工信委,2016-03-25 18:05, 013353737/2016-02016303,调查,机关事务,2016303.txt
关于报送联系方式的通知,工信委,2016-03-25 14:22, 013353737/2016-02015824,通知,文秘工作,2015824.txt
​关于组织省级以上企业技术中心评估考核工作的通知,工信委,2016-03-25 14:19, 013353737/2016-02015821,技术,科技,2015821.txt
关于申报2016年省级技术创新示范企业的通知,工信委,2016-03-25 14:18, 013353737/2016-02015818,技术,科技,2015818.txt
关于申报2016年省级认定企业技术中心的通知,工信委,2016-03-25 13:15, 013353737/2016-02015815,技术,科技,2015815.txt
​关于延期举办“工业企业可持续发展之道”研讨班的通知,中小企业服务中心,2016-03-24 13:52, 013353737/2016-02014624,培训,教育,2014624.txt
关于参加重庆高交会暨军博会的通知,工信委,2016-03-21 12:08, 013353737/2016-02010705,博览会,对外经贸合作,2010705.txt
​关于参加第八届中国西安国际食品博览会暨丝绸之路特色食品展的通知,工信委,2016-03-18 19:53, 013353737/2016-02010272,博览会,对外经贸合作,2010272.txt
​关于申报再生化学纤维（涤纶）企业准入工作的通知,工信委,2016-03-15 11:53, 013353737/2016-02005898,通知,文秘工作,2005898.txt
关于组织开展2016年度工信部两化融合管理体系贯标试点企业申报工作的通知,工信委,2016-03-11 17:00, 013353737/2016-02003763,通知,文秘工作,2003763.txt
关于邀请会计师事务所对2016年市工业发展专项资金申报项目进行复核审计的通知,工信委,2016-03-09 14:45, 013353737/2016-02002736,审计,审计,2002736.txt
关于对2015年技术开发项目进行确认的通知,工信委,2016-02-29 16:50, 013353737/2016-01989757,通知,文秘工作,1989757.txt
关于做好全市2016年工业投资项目摸底工作的通知,工信委,2016-02-25 12:15, 013353737/2016-01987379,通知,文秘工作,1987379.txt
关于开展第四批“西安市中小企业20强”评选活动的通知,工信委,2016-01-27 09:45, 013353737/2016-01927079,评选,机关事务,1927079.txt
关于报送西安市2015年企业技术中心年报的通知,工信委,2016-01-13 21:03, 013353737/2016-01920386,通知,文秘工作,1920386.txt
关于征集第三批西安市中小企业公共服务示范平台的通知,工信委,2016-01-13 09:32, 013353737/2016-01920002,通知,文秘工作,1920002.txt
关于做好2016年工业地产品配套采购奖励申报工作的通知,工信委,2016-01-08 16:37, 013353737/2016-01918427,通知,文秘工作,1918427.txt
印发西安市小型微型企业创业基地管理暂行办法的通知,工信委,2014-04-14 11:45, 013353737/2014-00978301,通知,文秘工作,0978301.txt
关于印发西安市技术创新示范企业认定工作实施方案（试行）的通知,工信委,2013-04-23 11:11, 013353737/2017-00633434,通知,文秘工作,0633434.txt
市工信委赵平副主任带队赴航天基地开展促投资稳增长工作,工信委,2018-09-30 15:55, 013353737/2018-02971697,稳增长,其他,2971697.txt
市工信委张兴华副主任带领市政府第三督导组对莲湖区“双节”期间安全生产工作进行督导,工信委,2018-09-28 18:33, 013353737/2018-02969682,安全,其他,2969682.txt
市工信委李初管主任赴西咸新区召开三季度工业追赶超越补短板暨重点企业稳增长专题会,工信委,2018-09-28 18:17, 013353737/2018-02969673,补短板,其他,2969673.txt
市工信委李初管主任赴莲湖区召开三季度工业追赶超越补短板暨重点企业稳增长座谈会,工信委,2018-09-28 18:03, 013353737/2018-02969679,补短板,其他,2969679.txt
市网信办、市文明办联合倡议“文明上网，做中国好网民”,安文明网,2018-09-26 09:50, 013353737/2018-02966443,文明上网,其他,2966443.txt
市工信委李初管主任赴周至县召开三季度工业追赶超越补短板暨重点企业稳增长座谈会,工信委,2018-09-25 18:11, 013353737/2018-02969655,补短板,其他,2969655.txt
市工信委召开包抓区县开发区和重点企业周点评研判会,工信委,2018-09-25 10:44, 013353737/2018-02969594,包抓,其他,2969594.txt
市工信委李初管主任赴经开区重点工业企业上门服务,工信委,2018-09-25 10:12, 013353737/2018-02965019,调研,机关事务,2965019.txt
市工信委组织企业参加工博会,工信委,2018-09-20 18:21, 013353737/2018-02962663,活动,其他,2962663.txt
陕西省“散乱污”企业综合整治督查组来西安市督导检查工作,工信委,2018-09-19 17:41, 013353737/2018-02961071,散乱污,其他,2961071.txt
市工信委召开三季度全市工业追赶超越补短板暨稳增长工作会议,工信委,2018-09-19 17:37, 013353737/2018-02961042,补短板,其他,2961042.txt
市工信委组织召开全市“散乱污”企业整治第四次联席会议,工信委,2018-09-15 17:38, 013353737/2018-02958736,散乱污,其他,2958736.txt
泸州市经信委一行来市工信委座谈交流,工信委,2018-09-15 17:31, 013353737/2018-02958711,座谈,其他,2958711.txt
西安市节能监察监测中心积极开展2018年国家重大工业专项节能监察,工信委,2018-09-15 16:14, 013353737/2018-02958509,节能,节能与资源综合利用,2958509.txt
市工信委副主任赵平赴帮扶村送书籍、送文化、促脱贫,工信委,2018-09-12 18:44, 013353737/2018-02958402,扶贫,扶贫,2958402.txt
市工信委组织召开干部作风问题排查整改工作推进会,工信委,2018-09-06 17:33, 013353737/2018-02949963,作风,其他,2949963.txt
市工信委节能处督导检查区县“散乱污”企业整治和落后产能淘汰进展情况,工信委,2018-09-06 15:00, 013353737/2018-02949585,散乱污,其他,2949585.txt
市工信委召开全体干部大会安排部署下阶段重点工作,工信委,2018-09-05 11:18, 013353737/2018-02948148,会议,文秘工作,2948148.txt
市工信委督导检查曲江新区“散乱污”企业整治工作,工信委,2018-09-05 09:43, 013353737/2018-02947861,散乱污,其他,2947861.txt
​西安工业云平台荣获2018年中国信息通信与大数据应用创新优秀成果金奖,工信委,2018-09-04 16:40, 013353737/2018-02947481,工业云平台,其他,2947481.txt
市工信委督导检查灞桥区“散乱污”企业整治工作,工信委,2018-08-29 17:38, 013353737/2018-02942569,散乱污,其他,2942569.txt
市工信委张兴华副主任督导莲湖区安全生产工作,工信委,2018-08-23 18:58, 013353737/2018-02937632,安全生产,安全生产监管,2937632.txt
西安市获得2018年中国城市治理智慧化优秀奖,工信委,2018-08-23 18:42, 013353737/2018-02937629,智慧,其他,2937629.txt
市工信委进一步加大全市“散乱污”企业整治宣传力度,工信委,2018-08-21 17:54, 013353737/2018-02935520,散乱污,其他,2935520.txt
市工信委原材料与消费品处赴鄠邑区对企业错峰生产情况进行督导检查,工信委,2018-08-16 17:29, 013353737/2018-02933048,错峰生产,其他,2933048.txt
市工信委召开二季度党风廉政建设工作点评推进会,工信委,2018-08-10 19:27, 013353737/2018-02926955,党风廉政,其他,2926955.txt
2018年西安及汾渭平原煤炭消费总量控制高峰论坛顺利召开,工信委,2018-08-07 19:34, 013353737/2018-02922793,煤炭消费总量、论坛,其他,2922793.txt
西安市工信委大数据局召开关于“创新发展与大数据产业体系”企业家座谈会,工信委,2018-08-01 12:42, 013353737/2018-02915146,企业家座谈会,其他,2915146.txt
魏增军副省长专程赴“西部跨采会”西安展团视察,工信委,2018-07-19 19:33, 013353737/2018-02903245,视察,机关事务,2903245.txt
宁波市经信委、科技局一行七人来我市学习调研,工信委,2018-07-19 19:30, 013353737/2018-02903241,调研,机关事务,2903241.txt
市工信委李初管主任赴国网西安供电公司开展对接服务促进稳增长,工信委,2018-07-09 15:17, 013353737/2018-02893235,稳增长,其他,2893235.txt
市工信委组织召开全市“散乱污”企业整治第二次联席会议暨市铁腕治霾工作专项督查第五督查组工作协调会,工信委,2018-07-06 19:42, 013353737/2018-02892638,散乱污,其他,2892638.txt
市工信委主任李初管到中车永电等9户重点工业企业调研“双过半”工作,工信委,2018-07-06 19:28, 013353737/2018-02892632,双过半,其他,2892632.txt
市纪委驻市工信委纪检组深入帮扶村督导精准帮扶工作,工信委,2018-07-05 19:04, 013353737/2018-02891121,扶贫,扶贫,2891121.txt
市工信委领导景六刚赴灞桥区调研“双过半”工作,工信委,2018-07-05 18:59, 013353737/2018-02891114,双过半,其他,2891114.txt
市工业（汽车产业）招商分局邀请捷克特斯拉亚太区总裁林裕唐一行到我市考察座谈,工信委,2018-07-05 18:42, 013353737/2018-02891096,座谈,其他,2891096.txt
西安市节能监察监测中心组织开展2018年度重大工业节能专项监察,工信委,2018-07-05 12:00, 013353737/2018-02890391,专项监察,其他,2890391.txt
吕健常务副市长调研市甲醇汽车办和市亲商助企办工作开展情况,工信委,2018-07-05 11:46, 013353737/2018-02890363,调研,机关事务,2890363.txt
市工信委主任李初管到中车永电公司走访调研,工信委,2018-07-05 11:42, 013353737/2018-02890351,双过半,其他,2890351.txt
市工信委张兴华副主任带领亲商助企办再赴西咸新区开展工业“双过半”服务调研活动,工信委,2018-07-03 18:35, 013353737/2018-02890342,双过半,其他,2890342.txt
市工信委主任李初管到鄠邑区、周至县调研工业“双过半”工作,工信委,2018-07-03 18:31, 013353737/2018-02890316,双过半,其他,2890316.txt
市工信委“七一”走访慰问机关离退休老党员,工信委,2018-07-02 18:25, 013353737/2018-02890299,慰问,优抚安置,2890299.txt
市工信委召开纪念建党97周年表彰大会暨党课讲座,工信委,2018-07-02 17:19, 013353737/2018-02888036,纪念活动,机关事务,2888036.txt
市纪委驻市工信委纪检组迅速传达学习省市纪委会议精神安排部署下半年工作,工信委,2018-07-02 15:36, 013353737/2018-02887869,会议,文秘工作,2887869.txt
西安市举办“中小微企业日”座谈会—提供中小企业全方位服务，推动民营经济高质量发展,工信委,2018-06-28 15:04, 013353737/2018-02885478,座谈会,其他,2885478.txt
2018年“社保基数年审年检工作”培训会圆满举行,工信委,2018-06-25 17:57, 013353737/2018-02880554,培训,教育,2880554.txt
“陕西省军民融合学会联合体成立大会暨院士专家论坛”成功举办,工信委,2018-06-25 17:49, 013353737/2018-02880518,军民融合,其他,2880518.txt
西安市节能监察监测中心走访看望离退休党员,工信委,2018-06-22 16:00, 013353737/2018-02878743,活动,其他,2878743.txt
西安市节能监察监测中心深入企业开展2018年节能宣传周活动,工信委,2018-06-15 18:34, 013353737/2018-02873514,节能宣传周,其他,2873514.txt
2018年节能宣传周——绿色制造 节能宣传进企业活动圆满结束,工信委,2018-06-14 19:34, 013353737/2018-02872198,节能,节能与资源综合利用,2872198.txt
​西安市“散乱污”企业整治工作领导小组召开2018年第一次“散乱污”企业整治工作推进会,工信委,2018-06-13 19:11, 013353737/2018-02870900,散乱污,其他,2870900.txt
​西安市节能监察监测中心党员干部进社区 节能低碳随我行！,工信委,2018-06-13 17:54, 013353737/2018-02870892,节能低碳,其他,2870892.txt
西安市信息中心开展主题党日活动,工信委,2018-06-11 18:18, 013353737/2018-02868483,党日活动,其他,2868483.txt
西安市举办第二期纪念改革开放40周年·弘扬企业家精神讲座,工信委,2018-06-06 16:25, 013353737/2018-02866609,改革开放,其他,2866609.txt
​西安市2018年军民融合企业融资对接会暨签约仪式顺利举行,工信委,2018-06-01 14:46, 013353737/2018-02857448,军民融合,其他,2857448.txt
西安市节能监察监测中心开展学习“梁家河精神”“延安精神”主题党日活动,工信委,2018-05-28 17:27, 013353737/2018-02849157,党日活动,其他,2849157.txt
“薪酬优化&团队建设”培训会圆满举行,工信委,2018-05-24 17:32, 013353737/2018-02844895,培训,教育,2844895.txt
市工信委召开《梁家河》专题学习交流会,工信委,2018-05-21 16:57, 013353737/2018-02838598,学习,其他,2838598.txt
西安市节能监察监测中心组织召开陕西省2018年国家重大工业节能专项监察工作培训会暨启动仪式,工信委,2018-05-21 16:21, 013353737/2018-02838365,培训,重点领域,2838365.txt
西安市中小企业服务中心成功举办第二期“项目经理人”培训,工信委,2018-05-15 14:36, 013353737/2018-02832671,活动,其他,2832671.txt
2018年第四期“送金融服务进园区“暨曲江“文化金融荟”活动圆满结束,工信委,2018-05-09 18:08, 013353737/2018-02827065,活动,其他,2827065.txt
驻市工信委纪检组召开驻在部门一季度党风廉政建设点评推进会,工信委,2018-05-04 22:23, 013353737/2018-02822886,会议,文秘工作,2822886.txt
西安市节能监察监测中心举办市级重点用能企业能源利用状况报告网上填报培训班,工信委,2018-05-04 21:01, 013353737/2018-02822868,培训,重点领域,2822868.txt
市政府第三安全督导组到莲湖区督导安全生产工作,工信委,2018-04-29 11:33, 013353737/2018-02814825,安全生产,安全生产监管,2814825.txt
西安市工信委深入帮扶村推进扶贫工作,工信委,2018-04-29 09:43, 013353737/2018-02814797,扶贫,扶贫,2814797.txt
西安市工信委“走进兵器基地”活动圆满举行,工信委,2018-04-27 19:08, 013353737/2018-02813153,活动,其他,2813153.txt
市工信委联合市统计局在鄠邑区召开工业投资培训对接会,工信委,2018-04-26 19:55, 013353737/2018-02811817,会议,文秘工作,2811817.txt
全省培育千亿级奶山羊产业工作会在渭南市富平县召开,工信委,2018-04-26 19:51, 013353737/2018-02811814,活动,其他,2811814.txt
市工信委参加卢力群同志碑林科技产业园民营文创企业调研活动,工信委,2018-04-17 12:06, 013353737/2018-02814831,调研,机关事务,2814831.txt
西安市召开集成电路暨智能终端产业推进座谈会,工信委,2018-04-10 11:25, 013353737/2018-02793927,会议,文秘工作,2793927.txt
我市召开民营经济发展改革政党协商座谈会,工信委,2018-04-06 11:42, 013353737/2018-02791245,会议,文秘工作,2791245.txt
弘扬“西迁精神” 争做工信铁军----西安市工信委组织党员干部参观交大西迁纪念馆,工信委,2018-04-05 12:50, 013353737/2018-02791239,文化活动,文化,2791239.txt
工信铁军勇夺“铁军团队再出发麦锐思杯”拔河比赛乙组冠军,工信委,2018-04-03 18:14, 013353737/2018-02789784,文化活动,文化,2789784.txt
市工信委机关党委召开党建工作推进会暨党务干部培训会,工信委,2018-04-03 11:40, 013353737/2018-02791229,培训,教育,2791229.txt
市工信委机关纪委开展“五查五看五争当锻造纪检铁军”专题教育活动,工信委,2018-03-28 16:41, 013353737/2018-02783556,活动,其他,2783556.txt
全市工业系统追赶超越擂台赛顺利召开,工信委,2018-03-28 16:36, 013353737/2018-02783535,会议,文秘工作,2783535.txt
市工信委副主任陈大为赴杭州参加第十一届全国中小企业协会联席会议,工信委,2018-03-23 15:58, 013353737/2018-02779635,会议,文秘工作,2779635.txt
市工信委召开标准化大数据座谈会,工信委,2018-03-23 10:19, 013353737/2018-02779003,会议,文秘工作,2779003.txt
“西安工业云平台”行业应用示范取得突破,工信委,2018-03-16 15:11, 013353737/2018-02774508,会议,文秘工作,2774508.txt
驻市工信委纪检组举办2018年首场廉政大讲堂报告会,工信委,2018-03-14 18:07, 013353737/2018-02769827,文化活动,文化,2769827.txt
市工信委赴贫困村义务植树并为丰泽园敬老院捐献衣物送温暖献爱心,工信委,2018-03-14 17:47, 013353737/2018-02769745,文化活动,文化,2769745.txt
市政府召开“建设国家中心城市”重点工业企业座谈会,工信委,2018-03-12 10:11, 013353737/2018-02766151,国家中心城市,其他,2766151.txt
市工信委孙琦峰主任赴西北工业大学、陕西华秦科技实业有限公司对接调研,工信委,2018-03-10 11:47, 013353737/2018-02765625,工作动态,文秘工作,2765625.txt
市工信委机关女同志喜庆三八国际劳动妇女节-赴西安中兴通讯终端科技有限公司学习参观,工信委,2018-03-10 11:33, 013353737/2018-02765622,文化活动,文化,2765622.txt
西安市中小企业服务中心成功举办2018年首期“送金融服务进园区”活动,工信委,2018-03-10 11:23, 013353737/2018-02765613,工作动态,文秘工作,2765613.txt
西安市中小企业服务中心与德国HOLTMANN公司进行关于中德先进工业技术交流会,工信委,2018-03-10 11:17, 013353737/2018-02765610,工作动态,文秘工作,2765610.txt
奋勇接力 追赶超越,工信委,2018-03-08 17:46, 013353737/2018-02764182,文化活动,文化,2764182.txt
西安市工信委组团考察淮安中德制造4.0服务平台,工信委,2018-03-07 20:10, 013353737/2018-02762227,工作动态,文秘工作,2762227.txt
胡润泽赴企业调研时强调努力为民营经济发展营造良好环境,工信委,2018-03-07 11:10, 013353737/2018-02770760,工作动态,文秘工作,2770760.txt
聚力帮扶暖人心  动情抒怀送锦旗,工信委,2018-03-05 17:34, 013353737/2018-02759585,工作动态,文秘工作,2759585.txt
市工信委召开大型工业企业“开门红”座谈会,工信委,2018-03-01 14:23, 013353737/2018-02770863,工作动态,文秘工作,2770863.txt
全市召开“追赶超越”抓发展“开门红”推进大会 真抓实干开展“三个年”活动 新时代追赶超越再出发,工信委,2018-02-23 15:02, 013353737/2018-02770937,工作动态,文秘工作,2770937.txt
开诚布公开展批评  正视问题精准整改——市工信委党组召开2017年度民主生活会,工信委,2018-02-15 11:23, 013353737/2018-02748531,会议,文秘工作,2748531.txt
明确目标 夯实责任奋力追赶超越——市工信委召开2017年度总结表彰暨2018年度目标责任、党风廉政建设责任签订大会,工信委,2018-02-15 11:02, 013353737/2018-02748527,会议,文秘工作,2748527.txt
西安市工信委开展2017年度市级重点用能企业节能目标责任评价考核,工信委,2018-02-12 18:16, 013353737/2018-02746317,考核,人事工作,2746317.txt
西安市节能监察监测中心举办全市节能执法人员行政执法能力建设培训班,工信委,2018-02-09 18:53, 013353737/2018-02743610,培训,教育,2743610.txt
市工信委贯彻落实冬防工作暨空气质量分析研判会会议精神,工信委,2018-02-07 18:43, 013353737/2018-02741407,会议,文秘工作,2741407.txt
西安市节能监察监测中心开展2018年“我们的节日”•春节（元宵节）党员干部进社区活动,工信委,2018-02-07 11:15, 013353737/2018-02740578,文化活动,文化,2740578.txt
市工信委李初管副主任组织相关单位协调解决重点骨干企业问题,工信委,2018-02-05 15:55, 013353737/2018-02771071,工作动态,文秘工作,2771071.txt
市工信委机关党员赴红旗社区开展送温暖送祝福活动,工信委,2018-02-02 20:15, 013353737/2018-02737840,文化活动,文化,2737840.txt
市工信委孙琦峰主任赴清华德人西安幸福制药有限公司解决问题,工信委,2018-02-01 15:51, 013353737/2018-02771066,工作动态,文秘工作,2771066.txt
中国诗书画研究会西北创作中心书画家到市工信委开展新春书画惠民活动,工信委,2018-01-31 20:50, 013353737/2018-02735282,文化活动,文化,2735282.txt
市工信委赵平副主任赴中航富士达等企业送新春贺信,工信委,2018-01-31 16:06, 013353737/2018-02771090,工作动态,文秘工作,2771090.txt
市工信委孙琦峰主任到顶益食品公司上门服务送祝福,工信委,2018-01-30 16:02, 013353737/2018-02771084,工作动态,文秘工作,2771084.txt
西安市举办健康医疗大数据建设高峰论坛,工信委,2018-01-26 11:40, 013353737/2018-02729415,工作动态,文秘工作,2729415.txt
西安市节能监察监测中心组织全体党员干部开展清雪活动,工信委,2018-01-25 15:33, 013353737/2018-02728525,工作动态,文秘工作,2728525.txt
市工信委“以雪为令”用铁军行动保障群众安全出行,工信委,2018-01-25 10:00, 013353737/2018-02728026,工作动态,文秘工作,2728026.txt
市工信委副主任韩博与西安交大管晓宏院士等我市高校专家就网络安全与大数据协同创新研究院开展论证座谈,工信委,2018-01-23 13:13, 013353737/2018-02726012,会议,文秘工作,2726012.txt
我市召开汽车产业大会动员部署打造千亿级汽车产业集群工作,工信委,2018-01-13 13:36, 013353737/2018-02718960,会议,文秘工作,2718960.txt
市工信委系统迅速行动  扫雪铲冰保通畅,工信委,2018-01-06 16:10, 013353737/2018-02712517,除雪保安全,其他,2712517.txt
西安发布：因为有你，这个雪天不再寒冷~除雪保畅，西安在行动！,工信委,2018-01-06 00:00, 013353737/2018-02712339,除雪保畅,其他,2712339.txt
省检查组验收我市2017年淘汰落后产能任务完成情况,工信委,2018-01-03 17:44, 013353737/2018-02710155,检查验收  落后产能,其他,2710155.txt
西安市大型工业企业“迎新年、话发展”座谈会召开,工信委,2018-01-02 11:45, 013353737/2018-02770671,工作动态,文秘工作,2770671.txt
市工信委陈大为副主任赴经开区宣讲工业10条,工信委,2017-12-28 16:56, 013353737/2017-02706119,会议,文秘工作,2706119.txt
2018年全国工业和信息化工作会议在京开幕,工信委,2017-12-25 15:24, 013353737/2017-02701735,会议,文秘工作,2701735.txt
市工业招商分局：三箭齐发靶向西安未来,工信委,2017-12-25 11:41, 013353737/2017-02701405,重大招商项目,其他,2701405.txt
市节能监察监测中心召开非工业重点用能单位能源利用状况报告填报培训会,工信委,2017-12-21 17:04, 013353737/2017-02698933,培训,教育,2698933.txt
驻市工信委纪检组 五项措施安排部署集中整治工作,工信委,2017-12-14 17:22, 013353737/2017-02689551,纪检,监察,2689551.txt
不忘初心  牢记使命 在扶贫路上践行追赶超越,工信委,2017-12-14 17:16, 013353737/2017-02689539,工作动态,文秘工作,2689539.txt
2017中国•西安工业互联网发展论坛暨“西安工业云平台”发布会圆满召开,工信委,2017-12-12 17:33, 013353737/2017-02685854,网络,信息产业（含电信）,2685854.txt
市工信委孙琦峰主任 赴超百亿企业调研服务,工信委,2017-12-07 10:59, 013353737/2018-02770471,工作动态,文秘工作,2770471.txt
强晓安副市长一行赴中国西电集团公司调研,工信委,2017-12-06 11:18, 013353737/2018-02770545,工作动态,文秘工作,2770545.txt
市节能监察监测中心巡查重点用煤企业年度原煤消减和指标完成情况,工信委,2017-12-01 15:57, 013353737/2017-02671538,工作动态,文秘工作,2671538.txt
市工信委在灞桥区召开工业促投资稳增长政策宣讲大会,工信委,2017-11-28 17:38, 013353737/2017-02666898,会议,文秘工作,2666898.txt
市节能监察监测中心开展“党员进社区学习宣传十九大精神”活动,工信委,2017-11-27 21:21, 013353737/2017-02664653,工作动态,文秘工作,2664653.txt
市工信委学习贯彻十九大精神大力推进委系统党风廉政建设,工信委,2017-11-23 14:18, 013353737/2017-02644984,会议,文秘工作,2644984.txt
长安区召开工业稳增长专题会,工信委,2017-11-22 14:17, 013353737/2017-02644978,会议,文秘工作,2644978.txt
市工信委举办党的十九大精神宣讲报告会,工信委,2017-11-18 21:23, 013353737/2017-02638961,会议,文秘工作,2638961.txt
市工信委赴临潼区开展工业促投资稳增长服务活动,工信委,2017-11-17 11:19, 013353737/2017-02638958,工作动态,文秘工作,2638958.txt
工信部重大工业节能监察专项督查组来陕督查工作,工信委,2017-11-08 18:19, 013353737/2017-02625122,督查,政务督察,2625122.txt
驻市工信委纪检组对“工业补短板”工作进行督导检查,工信委,2017-11-02 12:58, 013353737/2017-02617696,纪检,监察,2617696.txt
未央区政府召开工业市考指标工作推进会,工信委,2017-11-01 18:15, 013353737/2017-02625119,会议,文秘工作,2625119.txt
重阳喜庆十九大  携手共建小康村,工信委,2017-10-27 14:47, 013353737/2017-02615569,工作动态,文秘工作,2615569.txt
​市工信委组织召开《习近平的七年知青岁月》诵读暨学习交流会,工信委,2017-10-26 12:08, 013353737/2017-02610391,工作动态,文秘工作,2610391.txt
市工信委党组学习传达党的十九大精神,工信委,2017-10-23 10:26, 013353737/2017-02605791,工作动态,文秘工作,2605791.txt
市工交干校组织党员干部集中收看党的十九大开幕盛况,工信委,2017-10-18 20:42, 013353737/2017-02605081,工作动态,文秘工作,2605081.txt
“基地贷”为我市中小企业发展再添新动力,工信委,2017-09-29 19:43, 013353737/2017-02589228,工作动态,文秘工作,2589228.txt
2017北斗产业国际化发展论坛在西安成功举办,工信委,2017-09-27 19:36, 013353737/2017-02585958,会议,文秘工作,2585958.txt
长安区召开促投资稳增长工作推进会,工信委,2017-09-27 09:32, 013353737/2017-02585940,会议,文秘工作,2585940.txt
市工信委机关干部中秋为丰泽园养老院开展送温暖活动,工信委,2017-09-22 22:32, 013353737/2017-02579500,老龄问题,社会公益,2579500.txt
市工信委召开党风廉政建设工作推进会,工信委,2017-09-22 22:30, 013353737/2017-02579497,廉政建设,监察,2579497.txt
市工信委组织开展《之江新语》诵读比赛活动,工信委,2017-09-11 15:53, 013353737/2017-02561886,工作动态,文秘工作,2561886.txt
市工信委副巡视员畅旭同志赴青一村走访,工信委,2017-09-08 15:53, 013353737/2017-02561881,扶贫帮困,社会公益,2561881.txt
智慧西安时空信息云平台（一期）项目通过专家评审,工信委,2017-09-05 17:47, 013353737/2017-02553081,工作动态,文秘工作,2553081.txt
市工信委与中信银行合作签定150亿企业融资服务框架协议,工信委,2017-07-27 16:13, 013353737/2017-02508474,合作,对外经贸合作,2508474.txt
西安代表团精彩亮相2017中国（成都）国际现代工业技术博览会,工信委,2017-07-27 16:12, 013353737/2017-02508471,博览会,对外经贸合作,2508471.txt
《电石行业节能监察技术规范和实施指南》评审会在榆林召开,工信委,2017-07-26 15:10, 013353737/2017-02506950,工作动态,文秘工作,2506950.txt
市工信委孙琦峰主任在中兴智能终端公司调研,工信委,2017-07-20 21:37, 013353737/2017-02502534,调研,机关事务,2502534.txt
市工信委赴“杨震廉政教育基地”开展主题党日活动,工信委,2017-07-19 09:19, 013353737/2017-02500356,工作动态,文秘工作,2500356.txt
西安市、宝鸡市、榆林市甲醇汽车试点通过专家验收,工信委,2017-07-14 14:31, 013353737/2017-02498832,工作动态,文秘工作,2498832.txt
市工信委机关党委运用“四互”推进基层党建工作上水平,工信委,2017-07-13 16:31, 013353737/2017-02496593,工作动态,文秘工作,2496593.txt
